full_date,date,weekday,time,mood,activities,note
2020-10-18,18 de outubro,domingo,20:30,bem,"praça | bom papo | droga | descanso | THC | Nicotina","fiquei fumando com Benito e a namorada dele muito fofamwnre lá no AP, dps a gnt foi fumar maconha muito suave lá no campo e fiquei muito tranquilo e satisfeito com a situação até com jeito que eu entendo as coisas"
2020-10-17,17 de outubro,sábado,16:36,mal,"meu quarto | guitarra | na cama | com ela","mano deu tudo errado que sentimento merda de ela está indo embora meu deus outa que pariu"
2020-10-17,17 de outubro,sábado,14:15,bem,"meu quarto | boa refeição | transar | pegação forte | beijar | amigos | descanso | com ela | família","feuijada aqui em casa e eu nervoso que Gigi ia chegar e arhrur tava aqui.  ela chegou foi bem gostoso a gnt ficou agarrado, dps deitamos e fomos transar.  depôs que ela começou a sentar que o mundo acabou"
2020-10-15,15 de outubro,quinta-feira,00:55,bem,"meu quarto | ouvindo música | estudando | punheta | call | limpando | na cama | sofá | descanso | com ela | cão","RESUMINDO:  Cálculo, programação e gigi  E um pouco de japonês  resumindo esse foi meu dia"
2020-10-14,14 de outubro,quarta-feira,18:14,bem,"meu quarto | ouvindo música | estudando | organizando | lavar louça | jogando | call | limpando | exercício físico | bom papo | amigos | na cama | sofá | descanso | com ela","RESUMINDO:  início do dia no grau fazendo deveres de choko e depois indo estudar noção de limites, dps teve aula de LRP e fui programar, e foi bem gostoso.  depois fiquei de call com gigi, call normal, dps fui deitar pra bater punheta e fiquei umas 1h batendo aquela merda  acabei e voltei a estudar mais, e 29h parei e fiz exercícios, e dps de ter descansado e tomado banho liguei pra minha gigi e eh isso  voltei a estudar limites e foi bem interessante pq eu entendi tlgd, e pra finalizar maneiro bom papo com micheliznho no final sobre tudo, bem interessante"
2020-10-12,12 de outubro,segunda-feira,15:05,radiante,"meu quarto | praça | pista de skate | punheta | call | skate/longboard | na cama | clima fino | descanso | com ela | família | viagem/passeio","RESUMINDO:  acordei de fé e fui pra Petrópolis gastar a onda, e a ida foi bem maneira demais foi trembalao demais...cheguei lá no centro e fui andar e almoça com a família, clima extremamente gelado e gostoso como qiakwue clima perfeiro.  depois a gnt foi pra Itaipava passear, andei na pista de skate e mandei vários 180 maneiros, e andei na pumptrack que é foda demais pprt vtnc....  isso gasto muito a onda, aí eu voltei suavao do passeio bem descansado e feliz, nem ouvi música nenhuma  o único foda no dia foi pra dormir que meu cachorro ficou de putaria nessa porra e mijou no sofá e meu travesseiro tava mijado tbm puta que pariu que saco  e falei com gigi que eu tlgd fiquei de frufru em vídeo call"
2020-10-11,11 de outubro,domingo,12:30,bem,"meu quarto | estudando | call | na cama | sofá | droga | descanso | THC | Nicotina","RESUMINDO:  acordei bem amassadinho, porém fiz meu grau inteiro de japonês e consegui concluir, aí almocei arrumei o quarto e fui dormir de punehta  acordei falido pra caralho de punehta namoral derrotado  depois fui fazer o trabalho e cansei fui ligar pra gigi  ficamos rindo e muito gostosinho demais perfeito pprt 🍃 amo gigi demais  aí dps veio a parte demoníaca que foi fuimar com Arthur e Juan, faltando tipo usn 1h pra acabar meu trabalho e lá foi Mec  porém cheguei em casa pra fazer correndo, perdi 6383% da minha intuição puta que pariu fiquei burro demais e senti que estava perdendo, só fui acabar o bagulho 0:40"
2020-10-08,8 de outubro,quinta-feira,20:22,bem,"shopping | skate/longboard | bom papo | amigos | droga | descanso | Nicotina","rolê com arhtur, Pedro e Gutemberg. fomos no shopping e passeamos pela porta toda.  aí dps fomos na rua e andamos na praça lá, e fiquei com baysanre vontade de ficar com aquela mina linda, porra fiquei bem uiui u dos fomos ficar no shopping trocando ideia"
2020-10-08,8 de outubro,quinta-feira,16:30,radiante,"casa dela | punheta | cafuné | pegação forte | bom papo | com ela","fiquei de passeio com ela indo comprar ovo e indo no pão de açúcar, foi bem fofinho ir lá.  depois a gnt volto e fiquei meio ansioso, esperando demais que algo fosse dar errado, mas aí foi bem gostoso saber que eu a gnt ia ficar Juntinho por mais tempo.  gigi eh mt nenem com aqueles peitos, dos a gnt transou muito foi bem gostoso"
2020-10-08,8 de outubro,quinta-feira,15:00,bem,"ouvindo música | skate/longboard","japonês no curso shirai, muito interessante, cheguei lá e graças a deus não fiquei mt atrasado graças a deus.  andar de skate é MT bom na avenida lá, puta que pariu que sinistro de bok"
2020-10-07,7 de outubro,quarta-feira,23:28,bem,"meu quarto | ouvindo música | dançando | punheta | zazen | call | na cama | sofá | clima fino | descanso | com ela","RESUMINDO:  hj o dia foi bom até.  acordei fiz bastante coisinha, assisti aula e estudei, tudo aí Mec. fiz atividades.  porém uma coisa que durante o dia me deixou bem intrigado foi fazer por gigi sem esperar, ficou chegando uma hora que ela tava me desprezando já e vi que não ia ser fácil, mas qualquer coisa nesse estado me trás grande êxtase, tanto que ela falou nada demais e eh fiquei super agradecido.  aí de noite a gnt começa a se falar e foi bem gostoso, até o finalzjnho que ficou bem ruim dps do banho pq clima merda sla eh isso  procastinei bastante os estudos na cama e até dormi puta que pariu, o sentimento de dormir eh mt ruim"
2020-10-05,5 de outubro,segunda-feira,00:08,bem,"","liberdade = realizar seus desejos e agir com consequência.  todos os seres devem ter desejos e cumprir com tudo aquilo que se afeta.  se tudo é caos não faz sentido essa porra, se QUAKQUE coisa pode acontecer com qualquer ação minha, se tudo que for afetado por mim no universo tende ao infinito pra caralho"
2020-10-04,4 de outubro,domingo,23:59,bem,"","roubar = pegar muito do outro"
2020-10-04,4 de outubro,domingo,22:28,transcendendo,"casa de arthur | filme/série | descanso | meditar","transcendendo na respiração eu tô consigo  ongrolar vizaraamdnte tudo e toda realidade mano meu deus eu não sou Buda mais tô no caminho de buda  perguntas pessoais fazem se sentir desejadas e isso conquista o desejo, e se sentir desejado é a pior coisa pra um replicante, não deve se ter desejo apenas seguimento de ordens  registros são necessários, BASE DD DASOA"
2020-10-03,3 de outubro,sábado,23:27,radiante,"casa de arthur | ouvindo música | boa refeição | violão | amigos | na cama | clima fino | descanso","tocando violão super relaxado auqi na casa de arhtur  meti várias notas auqi bem foda namoral mano viado"
2020-10-03,3 de outubro,sábado,15:08,bem,"shopping | skate/longboard | clima fino | descanso | busão","tô ótimo pprt 🍃  estou aqui no ventinho indo pra casa de gigi dar a lembrancinha dela pq eu amo muito essa garota.  e faço qualquer coisa pra conquistar como minha princesinha namoral  eh isso"
2020-10-03,3 de outubro,sábado,10:00,neutro,"meu quarto | call | exercício físico | com ela | família","com ela na call alongandinho, a call foi bem tchola pq me senti bloqueado de passar meus sentimentos, mas só de ver ela eu fico feliz ela é tão perfeitinha maravilhosa, depois fiquei de cara fechada e fiquei bem nessa porra pq ela ficou dando importância pra mim. e ficamos bobinhos rindozinho no banho"
2020-10-02,2 de outubro,sexta-feira,20:30,neutro,"meu quarto | filme/série | com ela","assistindo filme e calor pra caralho namoral puta que pariu, tava bem desconfortável pq eu senti que ela não tava sabendo que eu gosto dela"
2020-10-02,2 de outubro,sexta-feira,18:12,bem,"meu quarto | estudando","concentrado e prazer na geometria, pois estava entendendo, pena que eu demorei muito, mas na próxima eu vou me concentrar melhor sim"
2020-10-02,2 de outubro,sexta-feira,15:39,bem,"meu quarto | ouvindo música | organizando | descanso","organizando minha rotina de estudo super relax pprt eu gosto disso.  eu posso fazer organizações assim que requerem menos energia mental, melhor pprt"
2020-10-02,2 de outubro,sexta-feira,13:29,neutro,"meu quarto | call | sofá | com ela","de preguiçinha pura pprt, não estava me sentindo muito bem nem muito mal, tava de tédio, foi até maneirinho no final que ela ligou a câmera só que aí depois ficou foda pprt"
2020-10-01,1 de outubro,quinta-feira,15:26,bem,"meu quarto | ouvindo música | estudando | punheta | vídeo/live | editando vídeo | guitarra | fazendo musica | na cama | sofá","RESUMINDO:  acordei tardinha, fui ver aula de geometria e decidi perder  pq foda"
2020-09-29,29 de setembro,terça-feira,17:08,neutro,"meu quarto | na cama","a famosa sensação horrível de perder, deitei e fui dormir e acordei derrotado、どれを食べますか?  muito ruim sério puta que pariu"
2020-09-29,29 de setembro,terça-feira,08:15,bem,"meu quarto | lavar louça | call | fazendo musica | sofá | com ela","acordei bem pprt, lavei louça e fiz duolingo e eh isso   de manhã foi maneirinho até a parte que eu estava fazendo o que eu gostava muito que era música, namoral tava mito gostoso, acordei e fiz algumas interessantes.  eu Marcão tava até Mec demais, até ela falar que precisava falar cmg e ela não se sente bem, logo liguei pra ela e descobri que elazinha não tá ser sentindo tão bem tlgd, vou mudar essa realidade com toda certeza  acho que vou fazer um vídeo de como ela é pika namoral, amanhã a meya é essa desde que acordar, vamos fazer tudo passo a passo e organizar no for her pra ela se sentir bem どうぞよろしくお願いします ごちそうさまでした 肉と野菜をべます"
2020-09-28,28 de setembro,segunda-feira,22:29,neutro,"meu quarto | lavar louça | guitarra | sofá","aí papo reto desanimação, única parte que me senti bem foi lavando louça, o resto foi bem lixo puta que pariu, eu preciso resolver isso tá foda msm pprt"
2020-09-28,28 de setembro,segunda-feira,11:30,radiante,"shopping | casa dela | praia/piscina | ouvindo música | perdendo forte | fotografia | violão | bom papo | amigos | descanso | com ela | Nicotina | busão | viagem/passeio","rolê pika hj, fui com Michel pra Niterói e andamos pelo centro. trocamos ideias doidas e rumos muito.  fui ate ver gigi amor da minha vidinha todinha am amo amo.  passeio foi pika dms, ate na volta  pprt estava com saudade de pessoas concordando cmg"
2020-09-27,27 de setembro,domingo,22:54,bem,"meu quarto | shopping | praia/piscina | pista de skate | ouvindo música | boa refeição | designing | perdendo forte | call | skate/longboard | guitarra | violão | fazendo musica | amigos | droga | descanso | com ela | THC | Álcool | viagem/passeio","minha manhã foi bem fudida pq queria dormir e não conseguia, ai foda tlgd sem várias vontades pra porra nenhuma tlgd、肉と野菜をたべません. 3時1分です 私は英語と日本語が話せます  aí depois fomos.pro rio, caelaho muito gostoso Andar de carro com o fonezinho gastando mó onda pprt...fiquei só vendo a beleza dos pedrios, dps fomos pra mura da Urca ficar lá vendo o mar, muito pica pprt namoral...  dps almoçamos no shopping, foi bem maneiro a parte do shopping, a comida tava trem balinha.  depois fui andar de skate lá no skate park da lagoa pprt  voltei pra casa e dei de cara com a tropa toda, ficamos de suave aqui em casa e ary rbm, dps saímos pra dar uma volta e fumamos maconha demais  teve uma parte muito interessante que eu usei a respiração pra fumar e pprt fiquei tranquilo demais meu deus  teve uma parte depois de eu, Pedro e Arthur, termos voltado pra casa, foi a gnt no meu quarto tocando guitarra tlgd, e meu pai dançandinho muito fofo meu deus meu pai eh mt fofo, pena que ele sla se estressa muito com as coisas, eh gostaria de ter a suavidade tocar suave, eu preciso agradecer ele demais namoral viciei: from nowhere"
2020-09-26,26 de setembro,sábado,16:23,radiante,"meu quarto | exercício físico | transar | pegação forte | beijar | na cama | sofá | descanso | com ela","fazendo muito sexo com minha totosa, foi muito gostosinho cuidar delazinha e deixar ela no grau, amo dar esforcinho pra ela namoral... é bom fazer ela se sentir bem  minha posição preferida é meter com ela deitadinha pprt deus abençoe demais.  a gnt dez muito sexo e ficou de caminha amo amo gigi, dps comemos o fino do fino"
2020-09-26,26 de setembro,sábado,12:17,bem,"meu quarto | zazen | descanso","meditando, entendi um pouco sobre que é meditar.  acha o ponto de equilíbrio no corpo, coisa muito muito difícil, mas eu senti um pouco da ignorância a dor, achei bem interessante, a postura fica maneira dms"
2020-09-25,25 de setembro,sexta-feira,09:30,neutro,"meu quarto","só a zero vontade de viver pprt e vontade de reclamar"
2020-09-24,24 de setembro,quinta-feira,22:43,bem,"meu quarto | call | sofá | descanso | com ela","conversandinho com ela muito bem e feliz após ver filme pika demais.  ela me faz bem pprt eu gosto muito dessa garota"
2020-09-24,24 de setembro,quinta-feira,13:51,bem,"meu quarto | estudando | punheta | sofá | descanso","trem bala aqui querendo chupar pica"
2020-09-23,23 de setembro,quarta-feira,18:30,apaixonado,"casa dela | filme/série | pegação forte | beijar | sofá | descanso | com ela","mano é incrível o quanto eu fico bem com ela quanto confortável eu sou do lado da minha princesa, tava muito feliz e trem do lado delazinha.  ela me beijando na boca mano muito bom cheio de tesão nela pprt, ela beijando my bem.  a gnt tava vendo Mulan vem feliz meu deus"
2020-09-23,23 de setembro,quarta-feira,16:23,bem,"shopping | boa refeição | transar | pegação forte | beijar | descanso | com ela | compras","indo pro Plaza de mãozinha dada com minha princesinha, olhando pra cara dela com desprezo e ela ficandinho uiui cmg na rua.  dps a gnt entrou no plaza e subiu pra ir na daiso e ficamos de mãozinha dada e agarradinho bem namoradinhos perfeitos e se amando bem demais ayayya.  dps a gnt foi pra praça de alimentação comer no kfc, muito gostoso com ela, e pprt fiquei doidão olhando pra ela perdi a coordenada e quase fiquei surtadao kkkkkk.  dps da delícia nós fomos pra casa e transamos muito forte, foi gostoso, mas nem tanto."
2020-09-23,23 de setembro,quarta-feira,00:09,bem,"meu quarto | estudando | na cama","finalizando bem feliz pq as vezes quando eu fico só vendo o problema e não resolvo ele eu fico bem thcola, mas eu já sei oq eu vou fazer amanhã, e se não der certo fodasse.  é que ultimamente eu tenho ficado bem bolado com dificuldades, mas vou passar com toda certeza por cima delas"
2020-09-22,22 de setembro,terça-feira,14:49,bem,"meu quarto | ouvindo música | call | guitarra | fazendo musica | bom papo | com ela","bem animadinho cantando pra gigi e conversandinho com ela a tarde toda, foi bem gostoso ficar com ela, estava com saudades de ficar em ligação com minha princesinha"
2020-09-20,20 de setembro,domingo,22:05,bem,"meu quarto | ouvindo música | punheta | editando vídeo | guitarra | fazendo musica | na cama | sofá | descanso | com ela","RESUMINDO:  acordei de manhã pra levar chokinho pra ser cuidadinho amor da minha vida perfeito lindo pro Vet pra ser tratadinho, depois voltei pra reunião, aí peguei umas visão do editor.  depois comecei a discutir com gigi e ficar diante de seu triste pessimismo onde me culpava e apenas olhava pra trás e tava tudo ruim tava tarde demais e.os caralho, fiquei bem otimista com a situação.  ela não aceita uma crítica, apenas as boas, se for ruim eu tô sendo malvado. aí fica foda.  depois fui dormir de uma punehta e fiquei num estado de dormir e.nao dormir ouvindo música.  depois que acordei de verdsdei fiquei te guitarrada e editando vídeo, e fiz um progresso, mas não consegui o que queria, vou tentar dnv, apesar de.nao ter conseguido hj o que eu queria  NAO E GANHAR OU PERDER MAS PROCURAR EVOLUIR  e agr to escrevendinho tudo aqui pra ver the boys"
2020-09-19,19 de setembro,sábado,22:18,neutro,"meu quarto | na cama","0 de elan vital derrotado demais na cama tentando entender cálculo e não conseguindk porra nenhum, nem editar os vídeos e gigi nao queria falar cmg aj eh fosa"
2020-09-19,19 de setembro,sábado,18:30,bem,"pista de skate | skate/longboard | bom papo | família","tava conversando com Estevão e Tio Gelson, foi bem maneiro o passeio que eu passei ali com os cara, foi satisfatório vê eles pprt  dps eu fui pra praça Chico Mendes e o que eu consegui descer o 3 namoral e subir o quarter bem alto  foi mais ou menos o rolê, mas eu tava Mec"
2020-09-19,19 de setembro,sábado,02:05,neutro,"meu quarto | call | com ela | cão","odeio ficar preocupado pprt odeio sentimento bem merda quebra minha vibe"
2020-09-18,18 de setembro,sexta-feira,15:54,bem,"meu quarto | ouvindo música | estudando | punheta | vídeo/live | call | skate/longboard | sofá | descanso | família | viagem/passeio","RESUMINDO:  acordei cuidadinho de choko e tocando guitarra, deposi fui tentar pegar uma visão mínima de função bati uma e fui dormir.  acordar é sempre ruim meu deus, de fuder msm pprt, que agonia. almocei muito bem com minga família e me arrumei Mec demais pra ir lá pra Icaraí  fiquei na clínica bem Mec, não foi tão tediante, andei um pouco de skate pelo quarteirão só pra não ficar triste...  depois cheguei em casa e toquei let it be pra ficar bem suavao e consegui deixar o bagulho doido e ficar bem preciso  fiquei estudando cálculo não entendi nada nessa porra"
2020-09-17,17 de setembro,quinta-feira,10:20,bem,"meu quarto | ouvindo música | fazendo musica | descanso","energia vital vem grandinho, amo isso, cantando Tim Maia e os caralho"
2020-09-16,16 de setembro,quarta-feira,08:29,bem,"ouvindo música | descanso","sentado com celular bem suava nada além do normal.  vi pro Alcântara e fiquei tirando foto  teve uma coisa que eu gostei de fazer foi fotografia e fazer vídeo meu  descobri que sou bem gostoso"
2020-09-15,15 de setembro,terça-feira,22:43,bem,"meu quarto","eu sei QQ eu fiz nesse dia nessa porra mas fodasse sla tomanocu nao me jmproto, mas gigi foi viajar"
2020-09-14,14 de setembro,segunda-feira,22:25,bem,"meu quarto | casa dela | praia/piscina | trilha | ouvindo música | exercício físico | amigos | droga | clima fino | descanso | com ela | THC","RESUMINDO:  fui pra praia a tarde, o passeio de ônibus até lá foi bem maneiro, cheguei na praia foi bem maneiro pprt, fui lá perto das pedras no intuito de encontrar um maconheiro msm, e me ofereceram e eu fiquei MT feliz Pprt  dps encontrei e percebi que ela é muito totosa tipo mt mesmo, mas perdeu a beleza na cara.   fomos encontrando geral e juntou, eu, Ryann, Wagner e Lis,  e a gnt subiu junto pprt, e foi bem legal as vistas, não me encantou os olhos pra caralho, mas me senti bem pra carlaho msm.  depois a gnt foi até o fim onde é do caralho msm tlgd e lá foi manekroz, até encontrei uma flor e decidi levar pra gigi gosrosa.  dps a gnt desceu pra praia e ficamos lá até de noitinhaz foi bem gostoso, dps voltei com Wagner pra Niterói e soltei lá perto do Salesiano, e foi mó caminhada, mas eu fui motivadao pra caralho, sem sentido nenhum, e eu amo muito a motivação da emoção pq nada me dá isso, esse meu lado de pensar nela é muito poderoso e faz coisas incríveis pprt  encontrei elazinha e dei um abraço bem gostoso nela e apertei aqueles peitos lindos e perfeitos ela tava pelada porém de roupa amo minha princesa demais meu deus"
2020-09-13,13 de setembro,domingo,22:36,bem,"meu quarto | praia/piscina | editando vídeo | na cama | sofá | descanso | família | viagem/passeio","RESUMINDO:  fiz tiktok andando de skate.  e fui dar passeio com a família no finzinho da tarde por nikity e foi muito gostoso pprt de verdade mesmo, e na volta gravei várias paradas maneira, pra fazer um clipe  viciei: Olhos Coloridos"
2020-09-12,12 de setembro,sábado,17:55,radiante,"ouvindo música | skate/longboard | clima fino | descanso","desci apenas me divertindo mano foi bem gostoso pprt, tava brincando bem gostoso.  desci a rua do Plaza com toda felicidade da terra pprt.  e agora estou no ônibus meczao confortável, mano com certeza vale a pena o esforço máximo pra quando vc estiver descansando o pagamento ser mais gostoso"
2020-09-12,12 de setembro,sábado,16:05,bem,"casa dela | sorveteria/açaíteria | boa refeição | transar | pegação forte | beijar | skate/longboard | clima fino | descanso | com ela | viagem/passeio","casinha dela, muito totosa e amor da minha vida todinho mesmo não tem nada que eu ame.mais que ela, de verdade.  é meu neném todinho.  aí pprt mo rabão gostoso do caralho meu deus do céu subi com ela pra transar muito gostoso quando ela sentava em mim pprt. aí dps acabou a luz e a gnt ficou de frente.um.pro outro muito linda ela, batendo punhetinha pra mim e eu passando a mão no peitao gostoso babado dela muito.bom  dps a gnt ficou sentadinho tomando açaí e vendo vídeo de edição"
2020-09-12,12 de setembro,sábado,09:00,bem,"meu quarto | vídeo/live | sofá | descanso | cão","Assistindo TEDx e muiito feliz em saber que a minha palavra já foi bem desenvolvida por outras pessoas e bem dissernida por alguns meios, as escolas matam a criatividade e matam a aprendizagem."
2020-09-11,11 de setembro,sexta-feira,16:18,bem,"casa dela | praia/piscina | boa refeição | pegação forte | beijar | bom papo | droga | descanso | Álcool","piquiniqueeee com gigilandia e andandinho de bike com ela, mano andar de bike com ela é MT bom pprt eu gosto dessa porra demais meu deus.  foi muito bom ir pra lá pra Charitas de bike subindo o bagulho doido  dps a gnt ficou sentadinho com vergonha um do outro e ficamos bebendo, porém vinho é maneiro que deixa bêbado, porém a gnt fica MT enjoado tlgd, e isso eh chatinho, fora isso foi bem gostosinho ficar lá.  só que na próximo vou levar é maconha tlgd kkkkkkkkkk  dps chegamos em casa e ficamos doidinhos no sofá bem gostoso e feliz apertandinho o peito dela eh isso"
2020-09-11,11 de setembro,sexta-feira,14:10,radiante,"ouvindo música | descanso | barca","mesmo durante a guerra para rever a vida e ver o quão ela é boa.  só de fé aqui nas barcas pensando nas pessoas em mim"
2020-09-11,11 de setembro,sexta-feira,11:30,bem,"skate/longboard","correria de cria pra carioca, cheguei lá, mano que lugar foda pprt, fiquei tipo 🥺🗣️✨  é MT bonito pprt, tirei umas fotos do ainda do ainda"
2020-09-11,11 de setembro,sexta-feira,09:14,bem,"casa de arthur | ouvindo música | bike | bom papo","indo comprar lixa e fazer missão em São Cristóvão de.rolamento, foi manerin pprt deu pra pegar uma visão da Tijuca e das parada namoral pprt  voltei e fritei os nugget e conversei sobre nutrição com Michelle"
2020-09-11,11 de setembro,sexta-feira,01:26,radiante,"casa de arthur | boa refeição | filme/série | perdendo forte | amigos | na cama | clima fino | descanso","rindo pra caralho de Arthur fazendo merda, tipo perdendo muito forte.  The Boys E mt bom pqp  e Arthur é MT engraçado quando tá com sono pprt kkkkkkkkkkkkk"
2020-09-10,10 de setembro,quinta-feira,18:26,bem,"casa de arthur | ouvindo música | bike | skate/longboard | bom papo | droga | descanso | autoestima alta | THC","RESUMINDO:  mano acordei trem suavada e fui cortar cabelo, botar crédito e pegar 423, fui tapeado,.mas.conswhui chegar lá na Tijuca a tempo.  pcheghei lá troquei ideia com tutu, porém queria sair de casa, aí fiquei de Rollings.  fui comprar lixa e fui andando de noite pela tijuca, foi bem pika, cheguei lá estava fechado e embiquei pra snake, e la foi bem chola no início, mas depois que eu consegui dropar foi bem foda msm, pq eu fui sentindo a evolução, e nada me trás mais desejo em alguma coisa que sentir a evolução, quanto mais evolução mais prazer em fazer aquilo eu tenho, e quando eu peguei a evolução na hora, fazendo coisas que demoraria muito pra vc foi sensacional.  é tudo questão de coragem.  (btw Arthur tava tentandk me desencorajar, mas interpretei como uma coisa que não é culpinha dele, é como ele é)"
2020-09-09,9 de setembro,quarta-feira,21:00,bem,"meu quarto | filme/série | na cama | descanso | com ela","assistindo bem confortável Black Mirror com ela, e depois jantandinho e chamando miga de falsa kkkkkkkkkk mt engraçadinha ela"
2020-09-09,9 de setembro,quarta-feira,14:30,bem,"meu quarto | guitarra | sofá | descanso | com ela","tocandinho guitarra pra ela a tarde toda e conversandinho, amo fazer isso meu deus amo demais"
2020-09-09,9 de setembro,quarta-feira,13:06,bem,"meu quarto | ouvindo música | guitarra | sofá | descanso","gastando a onda na guitarra demais"
2020-09-08,8 de setembro,terça-feira,10:40,bem,"meu quarto | sofá | descanso | cão","descansado com choko"
2020-09-07,7 de setembro,segunda-feira,18:56,bem,"ouvindo música | cafuné | descanso | com ela | família | viagem/passeio","passeandinho com ela do meu lado, ela é minha preciosidade completa meu deus, ela é tudo tudo tudo tudo puta que pariu"
2020-09-07,7 de setembro,segunda-feira,18:00,bem,"dançando | cão","pra finalizar comemos bolo com mommy e voltamos pro quarto dançar com Choko, ouvindo musiquinhas.  foi muito bom depois, pq eu fui fazer massagem na cachorra e acabei comendo ela"
2020-09-07,7 de setembro,segunda-feira,16:00,apaixonado,"","ela tampo minha cara e eu fiquei muito bem puta que pariu tendi nada meu deus foi tão bom, ela passando a mão em mim e os caralho a 4, parecia que estava tendo um banquete infinito de desejos.  muito bom sexo vendado meu deus, peito dela muito bom"
2020-09-07,7 de setembro,segunda-feira,14:00,apaixonado,"meu quarto | filme/série | cafuné | transar | pegação forte | beijar | na cama | com ela","na caminha com ela muito gostoso demais meu deus, rindo bem gostoso cheio de conexão gostosa com ela e cheio de felicidade outa que pariu, dps disso ela começou a chupar meu pauuuuuuu muito bom, e fizemos muito sexo eh isso"
2020-09-07,7 de setembro,segunda-feira,11:51,radiante,"meu quarto | ouvindo música | organizando | descanso","criando ordem nas fotos e fazendo as coisas necessárias, e fiquei muito grato pelo sistema pika que eu tenho no meu computador, muito foda tomanocu feliz demais por isso sério  por mais que ele trave eu tenho uma ordem aqui."
2020-09-06,6 de setembro,domingo,17:36,bem,"descanso | viagem/passeio","descendo a serra e sasfifeito com o passeio total mano ppry"
2020-09-06,6 de setembro,domingo,15:38,bem,"pista de skate | fotografia | skate/longboard | família","andando de skate, foi bem maneiro andar na pista dps de almoçar.  bem dahora e divertido demais, consegui descer degrau namoral, e cai bem.  fora isso terminou bem chato pq eu descobri que estorei meu rolamento, mas valeu a pena sim"
2020-09-05,5 de setembro,sábado,06:26,bem,"meu quarto | estudando | sofá | no chão | descanso | cão","aprendendo um pouco de termodinâmica pra aplicar em psicologia e brincandinho com choko  estava pensando na parte de o que é energia  resumindo tudo isso desde quinta até agora, descobri que existem pessoas que tendem ao caos e tem pessoas que tendem mais a ordem.  a desordem é a maioria das pessoas, são as pessoas que não conseguem e não buscam a transformação, que é a ordem.  por que poucas pessoas estão tendendo a ordem? por que sempre vai gastar mais energia, a pessoa que gosta de desordem é uma pessoa que procura recompensas rápidas por pouco esforço, a pessoa que não quer gastar muita energia.  e as pessoas que tendem a lutar contra"
2020-09-04,4 de setembro,sexta-feira,21:30,bem,"meu quarto | call | sofá | com ela","com ela falando sobre tudo, gosto mt da presença dela e me senti muito bem com ela pprt, a gnt brincou e ela fez asmr pra mim"
2020-09-04,4 de setembro,sexta-feira,18:00,bem,"casa dela | pegação forte | descanso | com ela","brincandinho com ela no meu colo, muito gostoso aquele momento ali sentadinhos e apenas um pro outro, amo tanto a cachorra.  depois a gnt foi pra um supermercado andandinho e curtindo o momento agarrados e voltamos, e lá no final que foi foda, pq eu Marcão sou MT gay e fiquei kinda triste, mas tava tudo bem pq se eu ficasse assim seria pura insastifacao minha"
